first_name,last_name,market_value
Lautaro,Martínez,85000000
Nico,Paz,80000000
Kenan,Yıldız,75000000
Alessandro,Bastoni,65000000
Rasmus,Højlund,60000000
Yann,Bisseck,50000000
Federico,Dimarco,50000000
Marcus,Thuram,50000000
Manu,Koné,50000000
Rafael,Leão,50000000
Nicolò,Barella,50000000
Pio,Esposito,45000000
Donyell,Malen,45000000
José dos Santos Lourenço da Silva,Éderson,45000000
França,Wesley,40000000
Scott,McTominay,40000000
Strahinja,Pavlović,40000000
Petar,Sučić,40000000
Christian,Pulisic,40000000
Khéphren,Thuram,38000000
Giorgio,Scalvini,38000000
Gleison ,Bremer,35000000
Evan,Ndicka,35000000
Dušan,Vlahović,35000000
Mile,Svilar,35000000
Máximo,Perrone,35000000
Matías,Soulé,35000000
Ange-Yoan,Bonny,35000000
Marco,Palestra,35000000
Pierre,Kalulu,32000000
Moise,Kean,32000000
Santiago,Castro,32000000
Nikola,Krstović,30000000
Mario,Gila,30000000
Honest,Ahanor,30000000
Assane,Diao,30000000
Martin,Baturina,30000000
Jacobo,Ramón,30000000
Weston,McKennie,30000000
Jesús,Rodríguez,30000000
Jonathan,David,30000000
Alessandro,Buongiorno,30000000
Francisco,Conceição,30000000
Niccolò,Pisilli,30000000
Marco,Carnesecchi,30000000
Charles,De Ketelaere,30000000
Alisson,Santos,28000000
Jonathan,Rowe,28000000
Anastasios,Douvikas,25000000
Tarik,Muharemović,25000000
Arthur,Atta,25000000
Gianluca,Scamacca,25000000
Manuel,Locatelli,25000000
Ardon,Jashari,25000000
Denzel,Dumfries,25000000
Kenneth,Taylor,25000000
Christopher,Nkunku,25000000
Loïs,Openda,25000000
Ismaël,Koné,25000000
Neil,El Aynaoui,23000000
Nicolò,Rovella,23000000
Koni,De Winter,23000000
Youssouf,Fofana,23000000
Lloyd,Kelly,23000000
Zopolato Neves,Carlos Augusto,23000000
David,Neres,23000000
Oumar,Solet,23000000
Isak,Hien,22000000
Sam,Beukema,22000000
Miguel,Gutiérrez,22000000
Davide,Frattesi,22000000
Giacomo,Raspadori,22000000
Samuele,Ricci,22000000
Jhon,Lucumí,22000000
Davide,Bartesaghi,22000000
Tomaz de Lima,Luis Henrique,22000000
Nicola,Zalewski,20000000
Evan,Ferguson,20000000
Vanja,Milinković-Savić,20000000
Mike,Maignan,20000000
Alexis,Saelemaekers,20000000
Billy,Gilmour,20000000
Mandela,Keita,20000000
Lorenzo,Bernasconi,20000000
Andy,Diouf,20000000
Zion,Suzuki,20000000
Andrea,Cambiaso,20000000
Jayden,Addai,20000000
Lucas,Da Cunha,20000000
Cher,Ndour,20000000
Armand,Laurienté,19000000
Adrien,Rabiot,18000000
Pietro,Comuzzo,18000000
Daniele,Ghilardi,18000000
Jeff,Ekhator,18000000
Robinio,Vaz,18000000
Santiago,Gimenez,18000000
Fikayo,Tomori,17000000
Kamaldeen,Sulemana,17000000
Matteo,Gabbia,17000000
Manuel,Akanji,17000000
Lazar,Samardžić,16000000
Hakan,Çalhanoğlu,16000000
,Dodô,16000000
Nicolò,Fagioli,16000000
Oliver,Provstgaard,16000000
Mathías,Olivera,15000000
Adrián,Bernabé,15000000
Frank,Anguissa,15000000
Brooke,Norton-Cuffy,15000000
Riccardo,Orsolini,15000000
Mateo,Pellegrino,15000000
Cesare,Casadei,15000000
Francesco,Camarda,15000000
Antonio,Vergara,15000000
Sebastiano,Esposito,15000000
Morten,Frendrup,15000000
Juan,Miranda,15000000
Gianluca,Mancini,15000000
Fabio,Miretti,15000000
Raoul,Bellanova,15000000
Odilon,Kossounou,15000000
Artem,Dovbyk,15000000
Elia,Caprile,15000000
Nicolò,Zaniolo,15000000
Zachary,Athekame,15000000
Gustav,Isaksen,15000000
,Tiago Gabriel,15000000
Andrea,Pinamonti,15000000
Zeki,Çelik,14000000
Alessandro,Marcandalli,14000000
Yunus,Musah,14000000
Nicolò,Cambiaghi,14000000
Jay,Idzes,14000000
Teun,Koopmeiners,14000000
Federico,Gatti,14000000
Lewis,Ferguson,14000000
Roberto,Piccoli,14000000
Leo,Østigård,13000000
Maxence,Caqueret,13000000
Torbjørn,Heggem,13000000
Martin,Vitík,13000000
Eljif,Elmas,13000000
Kristian,Thorstvedt,12000000
,Giovane,12000000
Pervis,Estupiñán,12000000
Thomas,Kristensen,12000000
Jan,Ziolkowski,12000000
Albert,Gudmundsson,12000000
Johan,Vásquez,12000000
Nuno,Tavares,12000000
Álex,Valle,12000000
Alessandro,Circati,12000000
Jens,Odgaard,12000000
Semih,Kılıçsoy,11000000
Mariano,Troilo,10000000
Michele,Di Gregorio,10000000
Nikola,Vlašić,10000000
Keinan,Davis,10000000
Piotr,Zielinski,10000000
Juan,Rodríguez,10000000
Adrian,Lahdo,10000000
Sascha,Britschgi,10000000
Emil,Holm,10000000
Edon,Zhegrova,10000000
Maduka,Okoye,10000000
Cristian,Volpato,10000000
Amir,Rrahmani,10000000
Stanislav,Lobotka,10000000
Lorenzo,Colombo,10000000
Josep,Martínez,10000000
Giovanni,Fabbian,10000000
Nicolas,Kühn,10000000
Lennon,Miller,10000000
Jurgen,Ekkelenkamp,10000000
Niccolò,Fortini,10000000
Rolando,Mandragora,9000000
Thijs,Dallinga,9000000
Daniel,Maldini,9000000
Benja,Domínguez,9000000
Marco,Brescianini,9000000
Petar,Ratkov,9000000
Tommaso,Baldanzi,8500000
Ruben,Loftus-Cheek,8500000
Devyne,Rensch,8500000
Jacopo,Fazzini,8500000
Alex,Meret,8000000
Bryan,Zaragoza,8000000
Kevin,De Bruyne,8000000
Idrissa,Gueye,8000000
Jean,Butez,8000000
Vasilije,Adžić,8000000
Darryl,Bakola,8000000
,Amorim,8000000
Eivind,Helland,8000000
,João Mário,8000000
Tijjani,Noslin,8000000
Simon,Sohm,8000000
Manor,Solomon,8000000
Jérémie,Boga,8000000
,Vitinha,8000000
Edoardo,Motta,8000000
Tommaso,Pobega,8000000
Lorenzo,Pellegrini,8000000
Luca,Lipani,7500000
Giovanni,Di Lorenzo,7500000
Mattia,Zaccagni,7500000
Saúl,Coco,7500000
Arijanet,Murić,7500000
Domenico,Berardi,7000000
Felipe,Loyola,7000000
Nikola,Moro,7000000
Armel,Bella-Kotchap,7000000
Adam,Obert,7000000
Rafik,Belghali,7000000
Ivan,Ilić,7000000
Ebenezer,Akinsanmiro,7000000
Mario,Hermoso,7000000
Paul,Mendy,7000000
Michel,Adopo,7000000
Nicolò,Bertola,7000000
Giovanni,Simeone,7000000
Bryan,Cristante,7000000
Gift,Orban,7000000
Matteo,Cancellieri,7000000
Matija,Frigan,7000000
Luca,Marianucci,7000000
Juan,Cabal,7000000
Rafiu,Durosinmi,7000000
Kieron,Bowie,7000000
Nadir,Zortea,7000000
Reda,Belahyane,6800000
Christian,Ordóñez,6500000
Gabriel,Strefezza,6500000
Samuel,Iling-Junior,6500000
Gianluca,Gaetano,6500000
Marin,Pongracic,6500000
Jack,Harrison,6500000
Oliver,Sørensen,6500000
Adrian,Przyborek,6000000
Mikael Egill,Ellertsson,6000000
Fisayo,Dele-Bashiru,6000000
Alessio,Romagnoli,6000000
Romelu,Lukaku,6000000
Warren,Bondo,6000000
Emirhan,İlkhan,6000000
Alberto,Dossena,6000000
Fabiano,Parisi,6000000
Ibrahim,Sulemana,6000000
Álvaro,Morata,6000000
Victor,Nelsson,6000000
Abdoulaye,Ndiaye,6000000
Enrico,Delprato,6000000
Hans,Nicolussi Caviglia,6000000
Mario,Pašalić,6000000
Zakaria,Aboukhlal,6000000
Luca,Ranieri,6000000
Jacob,Ondrejka,5500000
Gvidas,Gineitis,5500000
Matteo,Prati,5500000
Ché,Adams,5000000
Michael,Folorunsho,5000000
Gaetano,Oristanio,5000000
Ardian,Ismajli,5000000
Branimir,Mlacic,5000000
Paulo,Dybala,5000000
David,Odogu,5000000
Boulaye,Dia,5000000
Aarón,Martín,5000000
İsak,Vural,5000000
,Diego Carlos,5000000
Aster,Vranckx,5000000
Lorenzo,Venturino,5000000
Matteo,Politano,5000000
Medon,Berisha,5000000
Idrissa,Touré,5000000
Rafa,Obrador,5000000
Jordan,Zemura,5000000
Martín,Payero,5000000
Sebastian,Walukiewicz,5000000
Luca,Pellegrini,4500000
Jamil,Siebert,4500000
Josh,Doig,4500000
Calvin,Stengs,4500000
,Lorran,4500000
Jakub,Piotrowski,4500000
,Angeliño,4500000
Mikayil,Faye,4500000
Moatasem,Al-Musrati,4500000
Simone,Canestrelli,4500000
Alessandro,Zanoli,4500000
Matteo,Tramoni,4500000
Alieu,Fadera,4500000
Samuele,Angori,4500000
Filippo,Terracciano,4500000
Konstantinos,Tsimikas,4500000
Patrizio,Masini,4200000
Jesper,Karlström,4000000
Riyad,Idrissi,4000000
M'Bala,Nzola,4000000
Giorgi,Kvernadze,4000000
Nesta,Elphege,4000000
Daniel,Boloca,4000000
Justin,Bijlow,4000000
Rosen,Bozhinov,4000000
Sebastiano,Luperto,4000000
Michel,Aebischer,4000000
Berat,Djimsiti,4000000
Tomas,Suslov,4000000
Sead,Kolasinac,4000000
Benja,Cremaschi,4000000
Santiago,Pierotti,4000000
Robin,Gosens,4000000
Tino,Anjorin,4000000
Tommaso,Barbieri,3800000
Henrik,Meister,3800000
Nicolò,Casale,3800000
Massimo,Pessina,3500000
Adam,Buksa,3500000
David,de Gea,3500000
Federico,Baschirotto,3500000
Marc Oliver,Kempf,3500000
Juan,Arizala,3500000
Joel,Pohjanpalo,3500000
Joseph,Liteta,3500000
Ivan,Smolcic,3500000
Sandro,Kulenović,3500000
Wladimiro,Falcone,3500000
Nikola,Stulic,3500000
Antoine,Bernede,3500000
Faris,Moumbagna,3500000
Federico,Bernardeschi,3500000
Marcus,Pedersen,3500000
Luka,Modrić,3500000
Lameck,Banda,3500000
Davide,Zappacosta,3500000
Leonardo,Spinazzola,3500000
Niclas,Füllkrug,3500000
Danilo,Cataldi,3500000
Antonino,Gallo,3500000
Francesco,Coppola,3500000
Sandi,Lovrić,3500000
Nils,Zätterström,3500000
Marten,de Roon,3200000
Ignace,Van der Brempt,3000000
Ivan,Provedel,3000000
Tobias,Slotsager,3000000
Hassane,Kamara,3000000
Luis,Balbo,3000000
Nicolás,Valentini,3000000
Andrias,Edmundsson,3000000
,Zé Pedro,3000000
Henrikh,Mkhitaryan,3000000
Emanuele,Valeri,3000000
Alieu,Njie,3000000
Stefan,de Vrij,3000000
Gabriele,Piccinini,3000000
Toma,Bašić,3000000
Stefano,Turati,3000000
Riccardo,Sottil,3000000
Jari,Vandeputte,3000000
Oumar,Ngom,3000000
Omri,Gandelman,3000000
Remo,Freuler,3000000
,Gaspar,3000000
Gennaro,Borrelli,3000000
Gabriele,Zappa,3000000
Fali,Candé,3000000
Ulisses,Garcia,3000000
Morten,Thorsby,2800000
Emil,Audero,2800000
Marius,Marin,2800000
Enzo,Ebosse,2800000
Suat,Serdar,2800000
Niels,Nkounkou,2600000
Vakoun,Bayo,2500000
Filip,Stojilkovic,2500000
Yerry,Mina,2500000
Danilo,Veiga,2500000
Eddy,Kouadio,2500000
Sebastian,Otoa,2500000
Franco,Israel,2500000
Răzvan,Sava,2500000
Ruslan,Malinovskyi,2500000
Duván,Zapata,2500000
Adam,Marusic,2500000
Mattia,Felici,2500000
Jonathan,Klinsmann,2500000
Martin,Frese,2500000
Mitchel,Bakker,2500000
Romano,Floriani Mussolini,2500000
Mërgim,Vojvoda,2500000
Valentino,Lazaro,2500000
Federico,Bonazzoli,2500000
Michele,Collocolo,2400000
Amin,Sarr,2400000
Stephan,El Shaarawy,2400000
Agustín,Albarracín,2300000
Lassana,Coulibaly,2200000
Daniele,Rugani,2000000
Edoardo,Pieragnolo,2000000
Edoardo,Goldaniga,2000000
Woyo,Coulibaly,2000000
Mattia,Perin,2000000
Yann,Sommer,2000000
Guillermo,Maripán,2000000
Noel,Törnqvist,2000000
Lautaro,Valenti,2000000
Manuel,Lazzari,2000000
Maxwel,Cornet,2000000
Alessio,Zerbin,2000000
Agustín,Álvarez,2000000
Francesco,Acerbi,2000000
Filip,Kostić,2000000
Yael,Trepy,2000000
Cheikh,Niasse,2000000
Lukasz,Skorupski,2000000
Giuseppe,Pezzella,2000000
Kingsley,Ehizibue,2000000
Walid,Cheddira,2000000
