Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Season,Home_WinStreak,Away_WinStreak,Z_Home_Goals_Season,Z_Home_Wins_Season,Z_Away_Goals_Season,Z_Away_Wins_Season,GoalOnShotRatioHome,GoalOnShotRatioAway,HomeAdvantage,Home_Elo,Away_Elo,PointToMatchRatioHome,PointToMatchRatioAway
2015-08-22,Lazio,Bologna,2,1,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-22,Verona,Roma,1,1,D,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Sassuolo,Napoli,2,1,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Sampdoria,Carpi,5,2,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Palermo,Genoa,1,0,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Inter,Atalanta,1,0,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Fiorentina,Milan,2,0,H,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Empoli,Chievo,1,3,A,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Juventus,Udinese,0,1,A,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-23,Frosinone,Torino,1,2,A,2015-2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0
2015-08-29,Bologna,Sassuolo,0,1,A,2015-2016,0,1,0.0,0.0,6.640112748175939,0.0,0.25,0.3333333333333333,0.0,1492.8012999960577,1507.1987000039423,0.0,1.5
2015-08-29,Milan,Empoli,2,1,H,2015-2016,0,0,-0.30895719032666236,0.0,4.364357804719848,0.0,0.0,0.2,0.0,1489.2019499940866,1480.7980500059134,0.0,0.0
2015-08-30,Carpi,Inter,1,2,A,2015-2016,0,1,3.893507799539463,-0.19999999999999998,0.7373940601876313,2.9495762407505253,0.2857142857142857,0.14285714285714285,0.0,1487.402274993101,1507.1987000039423,0.0,1.5
2015-08-30,Chievo,Lazio,4,0,H,2015-2016,1,1,4.717281765248632,4.9029033784546,1.998303063778569,2.604083331999957,1.0,0.2222222222222222,0.0,1519.2019499940866,1507.1987000039423,1.5,1.5
2015-08-30,Genoa,Verona,2,0,H,2015-2016,0,0,-0.5018705639589911,-0.33377512720957286,0.307453025979709,-0.5406548735632486,0.0,0.14285714285714285,0.0,1492.8012999960577,1497.1987000039423,0.0,0.5
2015-08-30,Atalanta,Frosinone,2,0,H,2015-2016,0,0,-0.3461093276215864,-0.2041241452319315,0.7299631613174968,-0.3401680257083045,0.0,0.3333333333333333,0.0,1492.8012999960577,1487.1987000039423,0.0,0.0
2015-08-30,Roma,Juventus,2,1,H,2015-2016,0,0,0.6288128492848248,-0.4483137536088725,-0.5195015176997723,-0.3786412228313765,0.125,0.0,0.0,1502.8012999960577,1487.1987000039423,0.5,0.0
2015-08-30,Torino,Fiorentina,3,1,H,2015-2016,1,1,1.2655870461295127,2.042029424343383,2.124591463996994,3.4694433324435545,0.2857142857142857,0.2857142857142857,0.0,1512.8012999960577,1510.7980500059134,1.5,1.5
2015-08-30,Udinese,Palermo,0,1,A,2015-2016,1,1,0.31176254422312644,1.910841644269269,0.6415689499854739,2.3726381444935676,0.5,0.16666666666666666,0.0,1512.8012999960577,1507.1987000039423,1.5,1.5
2015-08-30,Napoli,Sampdoria,2,2,D,2015-2016,0,1,0.6551413085191369,-0.4161251892882395,5.551145592695652,2.204792759220492,0.3333333333333333,0.7142857142857143,0.0,1492.8012999960577,1512.597725006899,0.0,1.5
2015-09-12,Fiorentina,Genoa,1,0,H,2015-2016,0,1,0.659593130445387,0.589042349125875,0.2169934547035546,0.5979947492714393,0.24285714285714285,0.16666666666666666,1.0,1500.079570952842,1503.7749159771215,1.0,1.0
2015-09-12,Frosinone,Roma,0,2,A,2015-2016,0,1,-0.23009659034211585,-0.5797116298389154,0.6763161596284208,0.6065341483765204,0.16666666666666666,0.20535714285714285,0.0,1476.6225308642745,1509.59157410193,0.0,1.3333333333333333
2015-09-12,Juventus,Chievo,1,1,D,2015-2016,0,2,-0.23487822520900362,-0.5888753633396349,2.6365314633916164,1.832575600987128,0.25,0.9,0.0,1480.40842589807,1532.1085226652037,0.0,2.0
2015-09-13,Empoli,Napoli,2,2,D,2015-2016,0,0,0.19361621416330843,-0.6059599821770411,0.6573123860586985,-0.6507040734905544,0.26666666666666666,0.30952380952380953,0.0,1473.8207093183726,1490.533004969198,0.0,0.3333333333333333
2015-09-13,Inter,Milan,1,0,H,2015-2016,2,1,0.6610100616066586,1.8425774631122303,0.17763744367920858,0.5648388012396478,0.27142857142857146,0.25,1.0,1519.466995030802,1496.1792906816274,2.0,1.0
2015-09-13,Lazio,Udinese,2,0,H,2015-2016,0,0,0.17942689930445815,0.5722102707637441,-0.36322119641707645,0.45304436661859704,0.1111111111111111,0.25,1.0,1494.2921273328252,1499.8520794225028,1.0,1.0
