squadra_casa,squadra_ospite,data_partita,valore_titolari_casa,valore_titolari_ospite
Associazione Calcio Milan,Cagliari Calcio,2026-05-24,271000000,63100000
Società Sportiva Calcio Napoli,Udinese Calcio,2026-05-24,213000000,92300000
Pisa Sporting Club,Società Sportiva Calcio Napoli,2026-05-17,33300000,236500000
Unione Sportiva Sassuolo Calcio,Unione Sportiva Lecce,2026-05-17,90500000,44600000
Unione Sportiva Cremonese S.p.A.,Società Sportiva Lazio S.p.A.,2026-05-04,30200000,97500000
Associazione Sportiva Roma,Associazione Calcio Fiorentina,2026-05-04,291000000,105500000
Juventus Football Club,Verona Hellas Football Club,2026-05-03,366000000,39700000
Football Club Internazionale Milano S.p.A.,Parma Calcio 1913,2026-05-03,390500000,114000000
Unione Sportiva Sassuolo Calcio,Associazione Calcio Milan,2026-05-03,102300000,307000000
Bologna Football Club 1909,Cagliari Calcio,2026-05-03,95700000,94600000
Udinese Calcio,Torino Calcio,2026-05-02,96800000,65500000
Atalanta Bergamasca Calcio S.p.a.,Genoa Cricket and Football Club,2026-05-02,237000000,96900000
Calcio Como,Società Sportiva Calcio Napoli,2026-05-02,238500000,250000000
Pisa Sporting Club,Unione Sportiva Lecce,2026-05-01,40300000,44600000
Società Sportiva Lazio S.p.A.,Udinese Calcio,2026-04-27,67000000,91300000
Cagliari Calcio,Atalanta Bergamasca Calcio S.p.a.,2026-04-27,63400000,180000000
Associazione Calcio Milan,Juventus Football Club,2026-04-26,312000000,299000000
Torino Calcio,Football Club Internazionale Milano S.p.A.,2026-04-26,57500000,313000000
Associazione Calcio Fiorentina,Unione Sportiva Sassuolo Calcio,2026-04-26,97000000,115300000
Genoa Cricket and Football Club,Calcio Como,2026-04-26,89400000,238500000
Parma Calcio 1913,Pisa Sporting Club,2026-04-25,114000000,40300000
Verona Hellas Football Club,Unione Sportiva Lecce,2026-04-25,44700000,34800000
Bologna Football Club 1909,Associazione Sportiva Roma,2026-04-25,166500000,261000000
Società Sportiva Calcio Napoli,Unione Sportiva Cremonese S.p.A.,2026-04-24,240000000,39200000
Unione Sportiva Lecce,Associazione Calcio Fiorentina,2026-04-20,43100000,113500000
Pisa Sporting Club,Genoa Cricket and Football Club,2026-04-19,46100000,85900000
Juventus Football Club,Bologna Football Club 1909,2026-04-19,272000000,146500000
Verona Hellas Football Club,Associazione Calcio Milan,2026-04-19,40200000,297000000
Unione Sportiva Cremonese S.p.A.,Torino Calcio,2026-04-19,38000000,64000000
Associazione Sportiva Roma,Atalanta Bergamasca Calcio S.p.a.,2026-04-18,212000000,213000000
Società Sportiva Calcio Napoli,Società Sportiva Lazio S.p.A.,2026-04-18,246500000,106000000
Udinese Calcio,Parma Calcio 1913,2026-04-18,91300000,114000000
Football Club Internazionale Milano S.p.A.,Cagliari Calcio,2026-04-17,296500000,94000000
Unione Sportiva Sassuolo Calcio,Calcio Como,2026-04-17,103800000,202000000
Associazione Calcio Fiorentina,Società Sportiva Lazio S.p.A.,2026-04-13,98000000,82000000
Genoa Cricket and Football Club,Unione Sportiva Sassuolo Calcio,2026-04-12,88900000,119300000
Parma Calcio 1913,Società Sportiva Calcio Napoli,2026-04-12,96000000,223000000
Bologna Football Club 1909,Unione Sportiva Lecce,2026-04-12,142000000,43700000
Calcio Como,Football Club Internazionale Milano S.p.A.,2026-04-12,199500000,341000000
Atalanta Bergamasca Calcio S.p.a.,Juventus Football Club,2026-04-11,208000000,322000000
Associazione Calcio Milan,Udinese Calcio,2026-04-11,305000000,95800000
Cagliari Calcio,Unione Sportiva Cremonese S.p.A.,2026-04-11,88500000,37500000
Torino Calcio,Verona Hellas Football Club,2026-04-11,66000000,34500000
Associazione Sportiva Roma,Pisa Sporting Club,2026-04-10,218500000,34800000
Unione Sportiva Lecce,Atalanta Bergamasca Calcio S.p.a.,2026-04-06,39600000,208000000
Udinese Calcio,Calcio Como,2026-04-06,91300000,208000000
Juventus Football Club,Genoa Cricket and Football Club,2026-04-06,354000000,86700000
Società Sportiva Calcio Napoli,Associazione Calcio Milan,2026-04-06,194000000,233000000
Pisa Sporting Club,Torino Calcio,2026-04-05,32800000,53500000
Unione Sportiva Cremonese S.p.A.,Bologna Football Club 1909,2026-04-05,27000000,137500000
Football Club Internazionale Milano S.p.A.,Associazione Sportiva Roma,2026-04-05,381000000,218500000
Verona Hellas Football Club,Associazione Calcio Fiorentina,2026-04-04,42700000,142500000
Società Sportiva Lazio S.p.A.,Parma Calcio 1913,2026-04-04,92500000,111500000
Unione Sportiva Sassuolo Calcio,Cagliari Calcio,2026-04-04,106300000,92600000
Associazione Sportiva Roma,Unione Sportiva Lecce,2026-03-22,178500000,46700000
Calcio Como,Pisa Sporting Club,2026-03-22,195500000,38900000
Bologna Football Club 1909,Società Sportiva Lazio S.p.A.,2026-03-22,142500000,113200000
Atalanta Bergamasca Calcio S.p.a.,Verona Hellas Football Club,2026-03-22,182000000,39700000
Associazione Calcio Fiorentina,Football Club Internazionale Milano S.p.A.,2026-03-22,131000000,347500000
Juventus Football Club,Unione Sportiva Sassuolo Calcio,2026-03-21,315000000,96500000
Parma Calcio 1913,Unione Sportiva Cremonese S.p.A.,2026-03-21,90000000,28700000
Associazione Calcio Milan,Torino Calcio,2026-03-21,256000000,51500000
Cagliari Calcio,Società Sportiva Calcio Napoli,2026-03-20,88500000,279000000
Genoa Cricket and Football Club,Udinese Calcio,2026-03-20,84700000,85800000
Unione Sportiva Cremonese S.p.A.,Associazione Calcio Fiorentina,2026-03-16,30500000,109000000
Pisa Sporting Club,Cagliari Calcio,2026-03-15,38100000,88500000
Unione Sportiva Sassuolo Calcio,Bologna Football Club 1909,2026-03-15,101300000,137700000
Calcio Como,Associazione Sportiva Roma,2026-03-15,161000000,205500000
Società Sportiva Lazio S.p.A.,Associazione Calcio Milan,2026-03-15,124700000,326000000
Verona Hellas Football Club,Genoa Cricket and Football Club,2026-03-15,33200000,63400000
Società Sportiva Calcio Napoli,Unione Sportiva Lecce,2026-03-14,224500000,44200000
Football Club Internazionale Milano S.p.A.,Atalanta Bergamasca Calcio S.p.a.,2026-03-14,355500000,134000000
Udinese Calcio,Juventus Football Club,2026-03-14,67600000,315000000
Torino Calcio,Parma Calcio 1913,2026-03-13,52500000,90500000
Società Sportiva Lazio S.p.A.,Unione Sportiva Sassuolo Calcio,2026-03-09,129200000,92500000
Associazione Calcio Milan,Football Club Internazionale Milano S.p.A.,2026-03-08,314000000,356000000
Associazione Calcio Fiorentina,Parma Calcio 1913,2026-03-08,112000000,71700000
Bologna Football Club 1909,Verona Hellas Football Club,2026-03-08,171000000,30700000
